Sr No,Gateway,Scheme Name,Fund Name,ISIN,Plan Type,Option,IDCW Option,Active,Thresholds
1,cybrillapoa,ADITYA BIRLA SUN LIFE AGGRESSIVE HYBRID OMNI FOF-  REGULAR -  IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF084M01093,regular,idcw,reinvestment,true,"[{""type"":""lumpsum"",""amount_min"":100,""additional_amount_min"":100,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
2,cybrillapoa,ADITYA BIRLA SUN LIFE AGGRESSIVE HYBRID OMNI FOF- REGULAR PLAN - GROWTH OPTION,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF084M01077,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":100,""additional_amount_min"":100,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
3,cybrillapoa,ADITYA BIRLA SUN LIFE ARBITRAGE FUND - REGULAR PLAN - GROWTH,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01264,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
4,cybrillapoa,ADITYA BIRLA SUN LIFE ARBITRAGE FUND-REGULAR - IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01256,regular,idcw,payout,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
5,cybrillapoa,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209KB1E76,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":1,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
6,cybrillapoa,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- REGULAR - IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209KB1E92,regular,idcw,payout,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":1,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
7,cybrillapoa,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- REGULAR - IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209KB1F00,regular,idcw,reinvestment,true,"[{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":1,""units_max"":999999999,""units_multiples"":0.001}]"
8,cybrillapoa,ADITYA BIRLA SUN LIFE BALANCED ADVANTAGE FUND - REGULAR PLAN - GROWTH OPTION,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF084M01AB8,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":100,""additional_amount_min"":100,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
9,cybrillapoa,ADITYA BIRLA SUN LIFE BALANCED ADVANTAGE FUND -REGULAR - IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF084M01AD4,regular,idcw,reinvestment,true,"[{""type"":""lumpsum"",""amount_min"":100,""additional_amount_min"":100,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
10,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND  - REGULAR - IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01LX6,regular,idcw,payout,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":1000,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
