Sr No,Scheme Name,AMC Name,Category,Product Type,Scheme Code,ISIN,Active
1,ABSL INTERVAL INCOME-QTLY-S1-INSTITUTIONAL IDCW REINVESTMENT,AMC 3,MF,MF,864RD,INF209K01HS4,Yes
2,Aditya Birla SL Banking & PSU Debt-Ret(MD),AMC 3,MF,MF,83NDD,INF209K01LR8,No
3,Aditya Birla SL Banking & PSU Debt(DAP),AMC 3,MF,MF,83AP,INF209K01KM1,Yes
4,Aditya Birla SL Liquid Fund(DAP),AMC 3,MF,MF,154AP,INF209K01KZ3,No
5,Aditya Birla SL Money Manager Fund-Ret(DD),AMC 3,MF,MF,151DD,INF209K01JZ5,Yes
6,ADITYA BIRLA SUN LIFE AAF-AGGRESSIVE PLAN-DIVIDEND REINVESTMENT,AMC 3,MF,MF,601DD,INF209K01DU9,Yes
7,ADITYA BIRLA SUN LIFE AAF-AGGRESSIVE PLAN-DIVIDEND-DIVIDEND PAYOUT,AMC 3,MF,MF,601D,INF209K01AR1,Yes
8,ADITYA BIRLA SUN LIFE AAF-AGGRESSIVE PLAN-GROWTH,AMC 3,MF,MF,601G,INF209K01AS9,Yes
9,ADITYA BIRLA SUN LIFE AAF-CONSERVATIVE PLAN-DIVIDEND REINVESTMENT,AMC 3,MF,MF,603DD,INF209K01DW5,Yes
10,ADITYA BIRLA SUN LIFE AAF-CONSERVATIVE PLAN-DIVIDEND-DIVIDEND PAYOUT,AMC 3,MF,MF,603D,INF209K01AV3,Yes
11,ADITYA BIRLA SUN LIFE AAF-CONSERVATIVE PLAN-GROWTH,AMC 3,MF,MF,603G,INF209K01AW1,Yes
12,ADITYA BIRLA SUN LIFE AAF-MODERATE PLAN-DIVIDEND REINVESTMENT,AMC 3,MF,MF,602DD,INF209K01DV7,Yes
13,ADITYA BIRLA SUN LIFE AAF-MODERATE PLAN-DIVIDEND-DIVIDEND PAYOUT,AMC 3,MF,MF,602D,INF209K01AT7,Yes
14,ADITYA BIRLA SUN LIFE AAF-MODERATE PLAN-GROWTH,AMC 3,MF,MF,602G,INF209K01AU5,Yes
15,ADITYA BIRLA SUN LIFE ACTIVE DEBT MULTI-MANAGER FOF SCHEME - GROWTH,AMC 3,MF,MF,104B,INF084M01AH5,Yes
16,ADITYA BIRLA SUN LIFE ACTIVE DEBT MULTI-MANAGER FOF SCHEME - IDCW PAYOUT,AMC 3,MF,MF,104A,INF084M01AI3,Yes
17,ADITYA BIRLA SUN LIFE ACTIVE DEBT MULTI-MANAGER FOF SCHEME - IDCW PAYOUT,AMC 3,MF,MF,104C,INF084M01AJ1,Yes
18,ADITYA BIRLA SUN LIFE ARBITRAGE FUND - GROWTH,AMC 3,MF,MF,205RG,INF209K01264,Yes
19,ADITYA BIRLA SUN LIFE ARBITRAGE FUND - IDCW PAYOUT,AMC 3,MF,MF,205RD,INF209K01256,Yes
20,Aditya Birla Sun Life Arbitrage Fund - INSTL - Growth (formerly known as Aditya Birla Sun Life Enhan,AMC 3,MF,MF,205IG,INF209K01249,Yes
21,Aditya Birla Sun Life Arbitrage Fund - INSTL - IDCW (formerly known as Aditya Birla Sun Life Enhance,AMC 3,MF,MF,205ID,INF209K01231,No
22,ADITYA BIRLA SUN LIFE ARBITRAGE FUND -IDCW REINVESTMENT,AMC 3,MF,MF,205DD,INF209K01CI6,Yes
23,ADITYA BIRLA SUN LIFE ASSET ALLOCATOR FOF SCHEME - GROWTH,AMC 3,MF,MF,103B,INF084M01AE2,Yes
24,ADITYA BIRLA SUN LIFE ASSET ALLOCATOR FOF SCHEME - IDCW PAYOUT,AMC 3,MF,MF,103A,INF084M01AF9,Yes
25,ADITYA BIRLA SUN LIFE ASSET ALLOCATOR FOF SCHEME - IDCW PAYOUT,AMC 3,MF,MF,103C,INF084M01AG7,Yes
26,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA SAVINGS PLAN REGULAR DIVIDEND PAYOUT,AMC 3,MF,MF,42A,INF209KB1F59,Yes
27,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA SAVINGS PLAN REGULAR DIVIDEND REINVESTMENT,AMC 3,MF,MF,42C,INF209KB1F67,Yes
28,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA SAVINGS PLAN REGULAR GROWTH,AMC 3,MF,MF,42B,INF209KB1F34,Yes
29,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA WEALTH PLAN REGULAR GROWTH,AMC 3,MF,MF,41B,INF209KB1E76,Yes
30,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA WEALTH PLAN REGULAR IDCW PAYOUT,AMC 3,MF,MF,41A,INF209KB1E92,Yes
31,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA WEALTH PLAN REGULAR IDCW REINVESTMENT,AMC 3,MF,MF,41C,INF209KB1F00,Yes
32,ADITYA BIRLA SUN LIFE BALANCED ADVANTAGE FUND - GROWTH OPTION,AMC 3,MF,MF,105G,INF084M01AB8,Yes
33,Aditya Birla Sun Life Balanced Advantage Fund - IDCW Payout,AMC 3,MF,MF,106DP,INF084M01AC6,Yes
34,ADITYA BIRLA SUN LIFE BALANCED ADVANTAGE FUND - IDCW PAYOUT,AMC 3,MF,MF,106D,INF084M01AD4,Yes
35,Aditya Birla Sun Life Banking & PSU Debt Fund - Dividend Reinvestment - Direct Plan (formerly known,AMC 3,MF,MF,85IFR,INF209KA13Z9,No
36,Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Regular Plan,AMC 3,MF,MF,78,INF209K01BF4,No
37,Aditya Birla Sun Life Banking & PSU Debt Fund - Monthly Dividend - Regular Plan,AMC 3,MF,MF,77DD,INF209KA1WN8,No
38,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND - REGULAR PLAN - IDCW PAYOUT,AMC 3,MF,MF,85NIF,INF209K01LX6,Yes
39,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND - REGULAR PLAN - IDCW REINVESTMENT,AMC 3,MF,MF,85NIR,INF209KA11Z3,Yes
40,Aditya Birla Sun Life Banking & PSU Debt Fund Monthly Dividend Reinvest-Regular Plan,AMC 3,MF,MF,77DDR,INF209KA1WO6,Yes
41,Aditya Birla Sun Life Banking & PSU Debt Fund Weekly IDCW Reinvest-Regular Plan,AMC 3,MF,MF,77D,INF209K01EA9,No
42,Aditya Birla Sun Life Banking & PSU Debt Fund Weekly IDCW-Regular Plan,AMC 3,MF,MF,77,INF209K01BE7,No
43,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,AMC 3,MF,MF,1180B,INF209K011W7,Yes
